F_G1,F_G2,F_G3,F_G4,F_G5,F_G6,E_G1,E_G2,E_G3,E_G4,E_G5,E_G6,M_G1,M_G2,M_G3,M_G4,M_G5,M_G6,P_G1,P_G2,P_G3,P_G4,P_G5,P_G6,control_G1,control_G2,control_G3,control_G4,control_G5,control_G6,L_G1,L_G2,L_G3,L_G4,L_G5,L_G6
4722128257712713e-35,9629100681438752e-44,10920051186876092e-42,500.40401774746266,5758091955835148e-43,249307726778892e-42,0,0,17904356209369926e-43,6586.937981758252,4490445572112238e-42,13514811948714644e-43,0,0,0,500.4040178300314,0,0,0,0,23315692480731376e-42,90.07272320941075,0,0,0,0,0,0,0,0,0,0,11449677959695012e-40,45.26477389220857,0,0
1.461436599217412,2317749647377352e-21,4721488957110047e-40,498.9425787576839,31361677704797153e-44,30840432288512593e-44,9324783542156915e-22,1.3240160272087118,0,6585.613964586649,44078342491877933e-42,30100307582202097e-43,18.348624036714114,290998028335475e-19,0,500.4039887302271,0,0,4467782851002312e-26,6343757017713547e-20,707527852717735e-40,90.07265977183222,0,0,20,0,0,0,0,0,1243502008454832e-24,0.0017656351824444257,6699628102892804e-41,45.26300825634303,11426334275920279e-43,11933583106360276e-43
4.054897717190655,24693723495484096e-21,4211605682781488e-40,496.34909519949827,24716017345541993e-44,5041373625329751e-43,18495251129433395e-21,6.257237147836939,3178479187466377e-42,6580.680725538351,14621783353970912e-41,5099723777633156e-42,35.18222407087166,0.00029253183357205254,0,500.40372529777636,0,0,10831618765150855e-25,0.0005795197915199813,30960443412342257e-41,90.07214368869842,0,0,20,0,0,0,0,0,26507738704272672e-24,0.010961854181687524,0,45.25381201317843,20805091517553957e-44,0
7.51616066408418,0.00013954531794609218,38162432572032686e-41,492.88771734438046,7545291817358677e-43,2869258977462232e-43,0.00015747509418677377,17.129480817029716,8553281661274666e-41,6569.808342393843,33523446355707333e-41,5536015617587631e-42,50.62589383195015,0.0015588979559842137,0,500.40245892643793,0,0,11924829684905171e-24,0.002813333876901472,2336751587755904e-40,90.06990986408192,962221096798926e-42,0,20,0,0,0,0,0,24810207915295766e-23,0.03739611490130398,5588520891980974e-41,45.22737753249103,356880021338912e-42,0
11.632232365657531,0.0005563975495557179,351692028695161e-39,488.7712287407819,8813504678768175e-43,1684607431607491e-43,0.0008539855827939651,35.64742074719432,0,6551.28970536812,6019926951715205e-40,15405611847580663e-43,64.79439823313915,0.005859864414269467,24352067027361755e-42,500.3981579222424,0,0,843717544345871e-22,0.009656708511138366,15231522808278301e-41,90.06306641761265,1665124532193604e-40,0,20,0,0,0,0,0,14815935574307859e-22,0.09306602735114626,812221770902797e-40,45.1717063885884,38059041343864304e-42,10851124681573367e-42
16.230835846729416,0.001757232901565918,4555197775280495e-40,484.1714243807906,2546833658887052e-43,5495977592381448e-43,0.003447145390201764,62.64781880472894,0,6524.286713519682,7673964676057386e-40,15419334098434422e-43,77.79302628852261,0.01744727687307878,5614326562835615e-41,500.38657031126326,0,0,4426991032540797e-22,0.026315334754773146,7246250257701128e-41,90.0464074340692,0,0,20,0,0,0,0,0,6564164760977015e-21,0.18931669811178892,21112905360850563e-42,45.07545063754943,1385606865744966e-41,0
20.04802682280063,0.004776667498991683,41925427376431435e-41,480.35121393005056,5794620655316329e-44,1956550503184574e-42,0.010555246795395603,97.14054236413035,0,6489.7868812170955,883104040644914e-39,20454957871952267e-41,71.36975058045034,0.043792149577651436,5666798231368908e-41,500.36022462139147,0,0,18286124211860106e-22,0.06057233233315882,30639668916956897e-42,90.01214905210689,0,0,9298620605848573e-22,0,0,0,0,0,22468881383419258e-21,0.33315972715275166,14185150372841681e-44,44.931591706188904,6174562011954532e-42,3412008280281413e-42
23.173473313867657,0.011412746436049007,3651914055220869e-40,477.2191313234815,1649612228265771e-42,22536617717196553e-43,0.02651795553959654,136.75074658455054,0,6450.160713659989,12128647755662137e-40,0,65.4768382374388,0.09628826083028728,0,500.3077257485315,0,0,6216653388894407e-21,0.12232410945472343,0,89.95039288901582,0,0,0,0,0,0,0,0,6286906771010288e-20,0.5244473957846173,0,44.74026363975866,1945285119933932e-41,13359183290082726e-42
25.68841988638,0.02450049707118511,31799745231095494e-41,474.69109696727764,11096259066745258e-43,19615935687995452e-43,0.057751734276125184,178.63802527458122,0,6408.242200592413,14220674574611233e-40,0,60.0705020644173,0.1903178159307472,0,500.21368823495374,0,0,1804552147084668e-20,0.2223163170685264,0,89.85038885513633,0,0,0,0,0,0,0,0,0.00015083300287423938,0.7555973508131554,0,44.509025723097984,10026780616014502e-41,31419713323099374e-41
27.666342261866223,0.048098858981507314,50671874186209e-38,472.6895762003069,10507704023907754e-43,14640750978546944e-43,0.11281143245304105,220.22855685411974,26023145109258717e-41,6366.596608753781,1639226279215813e-39,0,55.11057346557676,0.3444771862669876,28967994355898712e-40,500.05950872037,11155091552374498e-40,0,4604610273519343e-20,0.3703246342005406,0,89.70235254049908,0,0,0,0,0,0,0,0,0.0003210807661010284,1.0137767401483084,0,44.25067608817259,2758434971898753e-41,8250715023891656e-41
29.173563572603214,0.08754748210238489,538899507202306e-39,471.14290624028905,907295536826133e-42,10502648307340461e-43,0.20202924598819078,259.5903792144975,16781844176873257e-41,6327.1455680614135,1743925274441098e-39,25093335290687918e-42,50.56020758430659,0.5789982422250415,9877692543307322e-40,499.8249418563598,17497664273333188e-40,0,0.00010562262005883803,0.5732617955166153,0,89.4993558061245,0,0,0,0,0,0,0,0,0.0006210131385583254,1.284169627928618,0,43.97998327003857,4272286877802791e-42,22985588167632782e-42
30.269833631410563,0.14935708340928772,55005299619818395e-41,469.9848265573144,17052076168630164e-41,6135753153757456e-41,0.3367331962628334,295.5208307393163,9888904082130803e-41,6291.080412112354,17946816682260186e-40,11469457857000251e-42,46.38561317393136,0.913636361481825,7475936707676713e-40,499.4902085259575,13294557346277446e-40,0,0.00022157054553748035,0.8337307835802958,0,89.23877087386771,0,0,0,0,0,0,0,0,0.0011097976744508312,1.5529306200219035,0,43.71073349526258,6867696447372398e-41,0
31.008872554101526,0.24093112750785275,8524390901223135e-40,469.1542135708045,2514554934954019e-40,522506603925293e-40,0.5281771610885674,327.4676312822528,16213812864266014e-41,6258.942167175594,20342935486513363e-40,0,42.55580599019622,1.365439334786,161176569054047e-38,499.0382222597135,12352061466223235e-40,9532139912925978e-41,0.0004307307554240883,1.1493850268698305,1796648324872049e-41,88.92290747426061,3638012646238666e-41,790680197417436e-40,0,0,0,0,0,0,0.0018552085185024275,1.8090871326998936,0,43.45383157342441,16956502929123586e-42,0
31.43888000890789,0.3701507124695453,8789182031951736e-40,468.5949865142583,2775735816233152e-40,11537174105142353e-41,0.7863982585696749,355.3811823610635,33888214713835155e-41,6230.770394614766,24614396680713732e-40,0,39.04238348754975,1.9468226963294613,12686762093633124e-40,498.4565086717311,104903908745662e-38,1854685230748716e-40,0.0007840424578382363,1.5131948084262257,2636860843673614e-41,88.55874438494695,0,0,0,0,0,0,0,0,0.002928507055401499,2.0453062411941754,15210027823752996e-42,43.21653916790859,40012194573583137e-44,0
31.603011317659654,0.5448793156702879,8827216142909613e-40,468.25612658824355,3261121443022492e-40,6023630833378556e-41,1.1192304690855066,379.55709450963514,5536757612913585e-40,6206.261649914409,30436914869423573e-40,1667263185418645e-41,35.819318524017085,2.6642739700480047,11635825446654737e-40,497.7384960063765,9407059779399432e-40,17562622823795416e-41,0.0013474272506491564,1.9144718620457286,3526383969389755e-41,88.15690395043869,0,471852644684658e-40,0,0,0,0,0,0,0.00439818982559884,2.257802167105244,8276256220065419e-42,43.002573560577886,64291342276113215e-43,0
31.539821593286685,0.77245454550376,7786392444832865e-40,468.0917410711911,4425015860703968e-40,7208230683662471e-41,1.53164963964043,400.4975074283208,7520356070515317e-40,6184.908817525438,3704614692124498e-39,1318275357994747e-40,32.86276975935611,3.5178433186506757,10653879598403734e-40,496.8840200524566,8497654279791223e-40,2155986794957423e-40,0.0022010473558664013,2.340350494562464,5547770922207718e-41,87.73017170160246,24460327660192487e-42,7637926977008086e-41,0,0,0,0,0,0,0.006323728252274761,2.4457484269740197,19545557206428218e-42,42.812701763474045,18031577168104053e-42,0
31.28367906853618,1.0592302427748141,7984304354688973e-40,468.06110788929425,536049601148557e-39,4614593329850785e-41,2.0255313504999397,418.80122144929084,8895000478272482e-40,6166.111221533262,4255857027064428e-39,25528110585996634e-41,30.150906523910663,4.501409033286042,9272482204500878e-40,495.8990557676018,6691846627160048e-40,2308409397251743e-40,0.003436723407382875,2.7773850552622217,51063597106920226e-42,87.29190146845866,10864818470417508e-43,13060355767596303e-41,0,0,0,0,0,0,0.008750400792902237,2.6104976068721983,43916211964471504e-42,42.6455259120754,0,0
30.865148756719172,1.4102177672682286,79246606990246305e-41,468.12865066920165,5287787234551535e-40,6495573347672023e-41,2.599804914807234,435.0832323510286,960092873697268e-39,6149.254936843759,4759957157567866e-39,31394467966917883e-41,27.663746168029093,5.603575642026143,7681135915927617e-40,494.7948185019245,5780083997300343e-40,3002841857452018e-40,0.005153618476976541,3.212976833044908,2533422746645865e-41,86.85459279899197,0,19317668658368315e-41,0,0,0,0,0,0,0.01170601343855923,2.7548064698083685,0,42.49826143739118,0,0
30.311347592173632,1.8288552566472218,794529321925966e-39,468.26381433866237,5269245186085692e-40,8818297401777472e-41,3.250912979364739,449.9202944928212,9132674423661698e-40,6133.766766448087,5335452375467099e-39,3297952445044151e-40,25.383002262590445,6.808989371872442,8634785818592708e-40,493.5864505020566,5524301962647038e-40,3795880524033466e-40,0.007452616384280638,3.6364455466296373,0,86.42882509063445,0,21451529636766606e-41,0,0,0,0,0,0,0.015199845853132618,2.8821703464970803,0,42.367403729052896,0,0
29.64627222847476,2.3169130206772617,7827945039192258e-40,468.4408319340969,5096535336362404e-40,13164122461675411e-41,3.973450784670282,463.81791629894064,11782807691250505e-40,6119.146606678542,5990853060119069e-39,30074974304158915e-41,23.29194246333547,8.099839138107043,8008754046467252e-40,492.29152459560237,3589912618220338e-40,4445478697121989e-40,0.010430064886094416,4.039670577328471,0,86.02262261430005,0,2214979277006145e-40,0,0,0,0,0,0,0.01922369909379294,2.996306033435538,0,42.24924418951686,0,0
28.891100724051594,2.8745257048697948,7918162272007301e-40,468.6383907513405,4846807662033678e-40,16148490082414186e-41,4.760860691377173,477.1941442878085,3895330392512906e-39,6104.982968653027,6630395357193555e-39,25423335991087684e-41,21.375255307502524,9.457337512598547,64510188720607655e-41,490.9285703143939,2264560444728303e-40,5140598698122561e-40,0.014171663680513162,4.417317501250748,0,85.64123409417404,0,229890002453308e-39,0,0,0,0,0,0,0.023754576424282105,3.1007847875256824,9243193869946194e-41,42.14023455862866,1506983922060071e-40,0
