F_G1,F_G2,F_G3,F_G4,F_G5,F_G6,E_G1,E_G2,E_G3,E_G4,E_G5,E_G6,M_G1,M_G2,M_G3,M_G4,M_G5,M_G6,P_G1,P_G2,P_G3,P_G4,P_G5,P_G6,control_G1,control_G2,control_G3,control_G4,control_G5,control_G6,L_G1,L_G2,L_G3,L_G4,L_G5,L_G6
4722150405785921e-35,19721522630525295e-47,11832913578315177e-46,500.40401774746266,7888609052210118e-46,9860761315262648e-46,0,0,31554436208840472e-46,6586.937981758252,0,15777218104420236e-46,0,0,0,500.40401783003136,0,0,0,0,0,90.07272320941075,0,0,0,0,0,0,0,0,0,0,0,45.26477389220856,0,30814879110195774e-48
1.4614365992175324,2317749647377754e-21,15777218104420236e-46,498.94257875768375,17749370367472766e-46,21693674893577825e-46,932478354215917e-21,1.3240160272088186,2524354896707238e-44,6585.613964586649,0,6310887241768095e-45,18.34862403671568,29099802833552622e-21,0,500.403988730227,3944304526105059e-46,0,4467782851003136e-26,6343757017714557e-20,0,90.07265977183216,0,0,20,0,0,0,0,0,12435020084551326e-25,0.0017656351824444992,4930380657631324e-47,45.26300825634303,0,0
4.054897717191029,24693723495482998e-21,19721522630525295e-46,496.3490951994978,27610131682735413e-46,27610131682735413e-46,18495251129434242e-21,6.257237147837481,15146129380243427e-44,6580.68072553835,0,1262177448353619e-44,35.182224070875286,0.00029253183357203573,0,500.40372529777625,0,0,1083161876515172e-24,0.0005795197915199326,19721522630525295e-47,90.0721436886983,0,0,20,0,0,0,0,0,26507738704274253e-24,0.010961854181688676,4930380657631324e-46,45.253812013178425,0,2465190328815662e-47
7.516160664084879,0.00013954531794609153,27610131682735413e-46,492.88771734437955,31554436208840472e-46,32047474274603605e-46,0.0001574750941867918,17.12948081703136,40389678347315804e-44,6569.8083423938415,0,2524354896707238e-44,50.62589383195672,0.0015588979559842374,7888609052210118e-46,500.40245892643776,0,0,1192482968490633e-23,0.0028133338769015664,3944304526105059e-46,90.06990986408186,0,0,20,0,0,0,0,0,2481020791529838e-22,0.03739611490130729,13805065841367707e-46,45.227377532491026,0,14791141972893971e-47
11.63223236565995,0.0005563975495556742,3549874073494553e-45,488.77122874077935,3944304526105059e-45,4030586187613607e-45,0.0008539855827941695,35.64742074719894,9087677628146056e-43,6551.289705368115,0,2524354896707238e-44,64.79439823316504,0.00585986441426913,15777218104420236e-46,500.3981579222422,7888609052210118e-46,0,8437175443460128e-23,0.009656708511138227,7888609052210118e-46,90.06306641761263,0,0,20,0,0,0,0,0,14815935574310955e-22,0.09306602735115657,17749370367472766e-46,45.17170638858839,0,9860761315262648e-47
16.230835846731686,0.0017572329015654716,3549874073494553e-45,484.171424380788,3944304526105059e-45,40429121392576855e-46,0.003447145390201701,62.64781880473874,15651000359584874e-43,6524.286713519671,0,0,77.79302628852747,0.017447276873073115,31554436208840472e-46,500.38657031126314,0,0,44269910325414217e-23,0.026315334754761135,7888609052210118e-46,90.04640743406922,0,677927340424307e-46,20,0,0,0,0,0,6564164760977992e-21,0.18931669811141894,5127595883936577e-45,45.0754506375494,0,9860761315262648e-47
20.048026938844657,0.004776667489000672,4338734978715565e-45,480.351213814017,5127595883936577e-45,54727225299707694e-46,0.01055524686634482,97.14054246912508,3559340404357205e-42,6489.786881112031,0,2524354896707238e-44,71.36975241531005,0.04379214957992906,31554436208840472e-46,500.360224621389,0,0,18286124245855593e-22,0.060572332338099125,19721522630525295e-46,90.01214905210186,0,19721522630525295e-47,292985427553954e-20,0,0,0,0,0,22468881478033936e-21,0.33315972729263127,10452406994178406e-45,44.93159170604876,0,29582283945787943e-47
23.173473529017848,0.011412746407502141,4733165431326071e-45,477.21913110836016,55220263365470826e-46,4535950205020818e-45,0.026517955878819582,136.7507469839137,7345872749418062e-42,6450.1607132602885,0,2524354896707238e-44,65.47683992078463,0.09628826085128185,4733165431326071e-45,500.3077257485102,0,19721522630525295e-47,62166534201368315e-22,0.12232410949593633,4338734978715565e-45,89.95039288897445,0,2711709361697228e-46,0,0,0,0,0,0,6286906830273705e-20,0.5244473965247257,20904813988356813e-45,44.74026363901791,0,0
25.688420185411836,0.024500497013863514,7099748146989106e-45,474.6910966683035,61136720154628415e-46,5817849176004962e-45,0.05775173525624014,178.63802617403746,12722748679404478e-42,6408.24219969198,0,2524354896707238e-44,60.07050360876554,0.19031781603285247,7888609052210118e-45,500.2136882348513,0,19721522630525295e-47,18045521625408978e-21,0.22231631724905473,7494178599599612e-45,89.85038885495551,0,2465190328815662e-46,0,0,0,0,0,0,0.00015083300496882162,0.7555973529752426,3924583003474534e-44,44.509025720933785,0,0
27.666342631133798,0.04809885888962066,11438483125704671e-45,472.68957583113206,10846837446788912e-45,5620633949699709e-45,0.11281143467565682,220.22855842097462,18932661725304283e-42,6366.596607184708,0,2524354896707238e-44,55.11057488240647,0.3444771866172111,14199496293978212e-45,500.05950872001904,0,29582283945787943e-47,460461032827481e-19,0.37032463475981553,14199496293978212e-45,89.70235253993907,0,2465190328815662e-46,0,0,0,0,0,0,0.00032108077163410227,1.013776744781297,6646153126487024e-44,44.25067608353407,0,0
29.173563999913046,0.08754748198711693,18538231272693777e-45,471.1429058130952,18143800820083272e-45,5817849176004962e-45,0.20202925034140284,259.5903815524385,2506684412430287e-41,6327.145565719125,0,5048709793414476e-44,50.560208884148246,0.5789982431780656,2524354896707238e-44,499.82494185540537,0,3944304526105059e-46,0.00010562262161763749,0.5732617968937617,2603240987229339e-44,89.49935580474559,0,2465190328815662e-46,0,0,0,0,0,0,0.0006210131507556627,1.2841696360880306,1001853349630685e-43,43.979983261866956,0,0
30.269834105905577,0.14935708331852943,3194886666145098e-44,469.98482608291124,3056836007731421e-44,7099748146989106e-45,0.33673320397268286,295.5208338869923,30519450701190505e-42,6291.080408956976,0,5048709793414476e-44,46.385614366446156,0.913636363672809,4417621069237666e-44,499.49020852376333,0,29582283945787943e-47,0.00022157054933133496,0.8337307864505911,44965071597597673e-45,89.23877087099345,0,0,0,0,0,0,0,0,0.0011097976981936694,1.5529306325721004,1374590127347613e-43,43.71073348268861,0,0
31.008873066147373,0.24093112755200113,5403697200763931e-44,469.1542130587154,5245925019719729e-44,867746995743113e-44,0.5281771737515237,327.4676352249195,3483609757455988e-41,6258.942163220272,0,7573064690121713e-44,42.5558070842484,1.3654393392116453,7573064690121713e-44,499.03822225528114,0,3944304526105059e-46,0.00043073076362409483,1.149385032135769,7178634237511207e-44,88.92290746898615,0,0,0,0,0,0,0,0,0.0018552085606652505,1.8090871501991357,1739438296012331e-43,43.453831555882964,0,0
31.438880549989335,0.37015071285043843,8914128228997433e-44,468.59498597279713,871691300269218e-43,10255191767873153e-45,0.7863982781551939,355.3811870467323,3778959280370735e-41,6230.770389909522,0,7573064690121713e-44,39.04238449127317,1.9468227043959256,1199068575935938e-43,498.45650866365094,0,0,0.000784042473980339,1.513194817159833,10807394401527862e-44,88.55874437619694,0,0,0,0,0,0,0,0,0.002928507125111341,2.045306263868758,20569548103637883e-44,43.21653914516424,0,0
31.60301188028055,0.5448793167092225,1400228106767296e-43,468.25612602458483,13617711376377716e-44,13607850615062454e-45,1.1192304979034569,379.55709986468594,39455667035534126e-42,6206.261644530552,0,7573064690121713e-44,35.81931944487639,2.664273983571487,17670484276950664e-44,497.7384959928269,0,0,0.0013474272801055353,1.9144718753939844,14988357199199224e-44,88.1569039370608,0,0,0,0,0,0,0,0,0.0043981899343520725,2.257802194888509,2309390300034512e-43,43.00257353268583,0,0
31.539822170878278,0.7724545476643409,2092453551098734e-43,468.09174049143974,20283586025495266e-44,16566079009641248e-45,1.5316496802753905,400.4975133703086,3991005091694143e-41,6184.9088115428285,0,10097419586828951e-44,32.862770604203085,3.51784333980726,2524354896707238e-43,496.8840200312528,0,0,0.0022010474063352352,2.3403505136368636,19800408721047396e-44,87.73017168247745,0,0,0,0,0,0,0,0,0.006323728413869527,2.4457484595789856,24829396991831347e-44,42.81270173070744,0,0
31.283679655371166,1.0592302466771466,2954284090052689e-43,468.0611072985577,28704676188729567e-44,22186712959340957e-45,2.0255314057209617,418.80122789635027,39329449290698765e-42,6166.111215030996,0,10097419586828951e-44,30.15090729903613,4.501409064518001,3470987982972452e-43,495.8990557362888,0,0,0.0034367234893482148,2.777385081034719,2477023242393977e-43,87.29190144260403,0,0,0,0,0,0,0,0,0.008750401023174212,2.6104976438723426,2585491616861866e-43,42.64552587484495,0,0
30.865149347831064,1.4102177736923538,40054412462596874e-44,468.12865007166613,38814421727202596e-44,26426840324903895e-45,2.5998049874656872,435.0832392281035,38016784744411e-39,6149.254929894041,0,10097419586828951e-44,27.663746879210684,5.603575685919354,4543838814073028e-43,494.79481845789854,0,0,0.005153618604084515,3.212976866268216,29740056126832145e-44,86.85459276564148,0,0,0,0,0,0,0,0,0.011706013754942363,2.754806510710703,2611129596281549e-43,42.49826139617242,0,0
30.311348183283428,1.8288552665253077,5218314888036993e-43,468.2638137376754,5036014063221075e-43,31110701949653653e-45,3.250913072293656,449.9203017352659,3622449276774886e-41,6133.766759112727,0,10097419586828951e-44,25.383002915136533,6.808989431022758,5742907390008966e-43,493.5864504426975,0,0,0.00745261657358063,3.636445587790905,34236563286591912e-44,86.42882504928372,0,0,0,0,0,0,0,0,0.015199846274095995,2.8821703908000784,2569714398757446e-43,42.367403684328856,0,0
29.64627281592099,2.3169130350755345,6551489817860503e-43,468.44083133225325,63054638230447e-41,36188994027013917e-45,3.9734509005964926,463.81792385409625,3407879110554771e-41,6119.146599007474,0,10097419586828951e-44,23.29194306212553,8.099839214992635,7068193710780266e-43,492.2915245184004,0,0,0.010430065158097515,4.039670626638395,38338639993741174e-44,86.02262256471784,0,0,0,0,0,0,0,0,0.01922369963822509,2.9963060806701467,2484911851446187e-43,42.24924414173776,0,0
28.891101304727847,2.874525724962404,7981300208573587e-43,468.6383901505724,7644062171591604e-43,4178497607342547e-44,4.760860832853601,477.19415211511495,31806871698511196e-42,6104.982960684258,0,1262177448353619e-43,21.37525585702405,9.457337609471605,8393480031551566e-43,490.92857021705686,0,0,0.014171664059052846,4.41731755866275,4157296970514732e-43,85.64123403638327,0,0,0,0,0,0,0,0,0.023754577110892995,3.1007848372807714,2376443476978298e-43,42.1402345081869,0,0
28.064469982069024,3.500329462259835,9454497949073826e-43,468.8392177339875,9034429517043638e-43,4747956573298965e-44,5.606084643830719,490.37587290949284,2963592648734297e-41,6090.956015974096,0,15146129380243427e-44,19.618926115464014,10.86302732772893,9687211916114025e-43,489.51577619374643,0,0,0.018747237661278254,4.7667243555058025,4393955242081036e-43,85.28725166825365,0,0,0,0,0,0,0,0,0.028758359544106864,3.1987984504063776,22482535798798836e-44,42.03721711306124,0,0
